Origin,   Shake,    Average,    Moving,     IIR
132504,  132504,  132501,  132500,  132472
132505,  132505,  132501,  132501,  132473
132506,  132506,  132501,  132502,  132474
132507,  132507,  132505,  132503,  132475
132508,  132508,  132505,  132504,  132476
132509,  132509,  132505,  132505,  132477
132510,  132510,  132505,  132506,  132478
132511,  132511,  132509,  132507,  132479
132512,  132512,  132509,  132508,  132480
132513,  132513,  132509,  132509,  132481
132514,  132514,  132509,  132510,  132482
132515,  132515,  132513,  132511,  132483
132516,  132516,  132513,  132512,  132484
132517,  132517,  132513,  132513,  132485
132518,  132518,  132513,  132514,  132486
132519,  132519,  132517,  132515,  132487
132520,  132520,  132517,  132516,  132488
132521,  132521,  132517,  132517,  132489
132522,  132522,  132517,  132518,  132490
132523,  132523,  132521,  132519,  132491
132524,  132524,  132521,  132520,  132492
132525,  132525,  132521,  132521,  132493
132526,  132526,  132521,  132522,  132494
132527,  132527,  132525,  132523,  132495
132528,  132528,  132525,  132524,  132496
132529,  132529,  132525,  132525,  132497
132530,  132530,  132525,  132526,  132498
132531,  132531,  132529,  132527,  132499
132532,  132532,  132529,  132528,  132500
132533,  132533,  132529,  132529,  132501
132534,  132534,  132529,  132530,  132502
132535,  132535,  132533,  132531,  132503
132536,  132536,  132533,  132532,  132504
132537,  132537,  132533,  132533,  132505
132538,  132538,  132533,  132534,  132506
132539,  132539,  132537,  132535,  132507
132540,  132540,  132537,  132536,  132508
132541,  132541,  132537,  132537,  132509
132542,  132542,  132537,  132538,  132510
132543,  132543,  132541,  132539,  132511
132544,  132544,  132541,  132540,  132512
132545,  132545,  132541,  132541,  132513
132546,  132546,  132541,  132542,  132514
132547,  132547,  132545,  132543,  132515
132548,  132548,  132545,  132544,  132516
132549,  132549,  132545,  132545,  132517
132550,  132550,  132545,  132546,  132518
132551,  132551,  132549,  132547,  132519
132552,  132351,  132549,  132548,  132520
132553,  132351,  132549,  132549,  132521
132554,  132351,  132549,  132550,  132522
132555,  132351,  132553,  132551,  132523
132556,  132351,  132553,  132552,  132524
132557,  132351,  132553,  132553,  132525
132558,  132351,  132553,  132554,  132526
132559,  132351,  132557,  132555,  132527
132560,  132351,  132557,  132556,  132528
132561,  132561,  132557,  132557,  132529
132562,  132562,  132557,  132558,  132530
132563,  132563,  132561,  132559,  132531
132564,  132564,  132561,  132560,  132532
132565,  132565,  132561,  132561,  132533
132566,  132566,  132561,  132562,  132534
132567,  132567,  132565,  132563,  132535
132568,  132568,  132565,  132564,  132536
132569,  132569,  132565,  132565,  132537
132570,  132570,  132565,  132566,  132538
132571,  132571,  132569,  132567,  132539
132572,  132572,  132569,  132568,  132540
132573,  132573,  132569,  132569,  132541
132574,  132574,  132569,  132570,  132542
132575,  132575,  132573,  132571,  132543
132576,  132576,  132573,  132572,  132544
132577,  132577,  132573,  132573,  132545
132578,  132578,  132573,  132574,  132546
132579,  132579,  132577,  132575,  132547
132580,  132580,  132577,  132576,  132548
132581,  132581,  132577,  132577,  132549
132582,  132582,  132577,  132578,  132550
132583,  132583,  132581,  132579,  132551
132584,  132584,  132581,  132580,  132552
132585,  132585,  132581,  132581,  132553
132586,  132586,  132581,  132582,  132554
132587,  132587,  132585,  132583,  132555
132588,  132588,  132585,  132584,  132556
132589,  132589,  132585,  132585,  132557
132590,  132590,  132585,  132586,  132558
132591,  132591,  132589,  132587,  132559
132592,  132592,  132589,  132588,  132560
132593,  132593,  132589,  132589,  132561
132594,  132594,  132589,  132590,  132562
132595,  132595,  132593,  132591,  132563
132596,  132596,  132593,  132592,  132564
132597,  132597,  132593,  132593,  132565
132598,  132598,  132593,  132594,  132566
132599,  132599,  132597,  132595,  132567
132600,  132600,  132597,  132596,  132568
132601,  132601,  132597,  132597,  132569
132602,  132602,  132597,  132598,  132570
132603,  132603,  132601,  132599,  132571
132604,  132604,  132601,  132600,  132572
132605,  132605,  132601,  132601,  132573
132606,  132606,  132601,  132602,  132574
132607,  132607,  132605,  132603,  132575
132608,  132608,  132605,  132604,  132576
132609,  132609,  132605,  132605,  132577
132610,  132610,  132605,  132606,  132578
132611,  132611,  132609,  132607,  132579
132612,  132612,  132609,  132608,  132580
132613,  132613,  132609,  132609,  132581
132614,  132614,  132609,  132610,  132582
132615,  132615,  132613,  132611,  132583
132616,  132616,  132613,  132612,  132584
132617,  132617,  132613,  132613,  132585
132618,  132618,  132613,  132614,  132586
132619,  132619,  132617,  132615,  132587
132620,  132620,  132617,  132616,  132588
132621,  132621,  132617,  132617,  132589
132622,  132622,  132617,  132618,  132590
132623,  132623,  132621,  132619,  132591
132624,  132624,  132621,  132620,  132592
132625,  132625,  132621,  132621,  132593
132626,  132626,  132621,  132622,  132594
132627,  132627,  132625,  132623,  132595
132628,  132628,  132625,  132624,  132596
132629,  132629,  132625,  132625,  132597
132630,  132630,  132625,  132626,  132598
132631,  132631,  132629,  132627,  132599
132632,  132632,  132629,  132628,  132600
132633,  132633,  132629,  132629,  132601
132634,  132634,  132629,  132630,  132602
132635,  132635,  132633,  132631,  132603
132636,  132636,  132633,  132632,  132604
132637,  132637,  132633,  132633,  132605
132638,  132638,  132633,  132634,  132606
132639,  132639,  132637,  132635,  132607
132640,  132640,  132637,  132636,  132608
132641,  132641,  132637,  132637,  132609
132642,  132642,  132637,  132638,  132610
132643,  132643,  132641,  132639,  132611
132644,  132644,  132641,  132640,  132612
132645,  132645,  132641,  132641,  132613
132646,  132646,  132641,  132642,  132614
132647,  132647,  132645,  132643,  132615
132648,  132648,  132645,  132644,  132616
132649,  132649,  132645,  132645,  132617
132650,  132650,  132645,  132646,  132618
132651,  132651,  132649,  132647,  132619
132652,  132652,  132649,  132648,  132620
132653,  132653,  132649,  132649,  132621
132654,  132654,  132649,  132650,  132622
132655,  132655,  132653,  132651,  132623
132656,  132656,  132653,  132652,  132624
132657,  132657,  132653,  132653,  132625
132658,  132658,  132653,  132654,  132626
132659,  132659,  132657,  132655,  132627
132660,  132660,  132657,  132656,  132628
132661,  132661,  132657,  132657,  132629
132662,  132662,  132657,  132658,  132630
132663,  132663,  132661,  132659,  132631
132664,  132664,  132661,  132660,  132632
132665,  132665,  132661,  132661,  132633
132666,  132666,  132661,  132662,  132634
132667,  132667,  132665,  132663,  132635
132668,  132668,  132665,  132664,  132636
132669,  132669,  132665,  132665,  132637
132670,  132670,  132665,  132666,  132638
132671,  132671,  132669,  132667,  132639
132672,  132672,  132669,  132668,  132640
132673,  132673,  132669,  132669,  132641
132674,  132674,  132669,  132670,  132642
132675,  132675,  132673,  132671,  132643
132676,  132676,  132673,  132672,  132644
132677,  132677,  132673,  132673,  132645
132678,  132678,  132673,  132674,  132646
132679,  132679,  132677,  132675,  132647
132680,  132680,  132677,  132676,  132648
132681,  132681,  132677,  132677,  132649
132682,  132682,  132677,  132678,  132650
132683,  132683,  132681,  132679,  132651
132684,  132684,  132681,  132680,  132652
132685,  132685,  132681,  132681,  132653
132686,  132686,  132681,  132682,  132654
132687,  132687,  132685,  132683,  132655
132688,  132688,  132685,  132684,  132656
132689,  132689,  132685,  132685,  132657
132690,  132690,  132685,  132686,  132658
132691,  132691,  132689,  132687,  132659
132692,  132692,  132689,  132688,  132660
132693,  132693,  132689,  132689,  132661
132694,  132694,  132689,  132690,  132662
132695,  132695,  132693,  132691,  132663
132696,  132696,  132693,  132692,  132664
132697,  132697,  132693,  132693,  132665
132698,  132698,  132693,  132694,  132666
132699,  132699,  132697,  132695,  132667
132700,  132700,  132697,  132696,  132668
132701,  132701,  132697,  132697,  132669
132702,  132702,  132697,  132698,  132670
132703,  132703,  132701,  132699,  132671
132704,  132704,  132701,  132700,  132672
132705,  132705,  132701,  132701,  132673
132706,  132706,  132701,  132702,  132674
132707,  132707,  132705,  132703,  132675
132708,  132708,  132705,  132704,  132676
132709,  132709,  132705,  132705,  132677
132710,  132710,  132705,  132706,  132678
132711,  132711,  132709,  132707,  132679
132712,  132712,  132709,  132708,  132680
132713,  132713,  132709,  132709,  132681
132714,  132714,  132709,  132710,  132682
132715,  132715,  132713,  132711,  132683
132716,  132716,  132713,  132712,  132684
132717,  132717,  132713,  132713,  132685
132718,  132718,  132713,  132714,  132686
132719,  132719,  132717,  132715,  132687
132720,  132720,  132717,  132716,  132688
132721,  132721,  132717,  132717,  132689
132722,  132722,  132717,  132718,  132690
132723,  132723,  132721,  132719,  132691
132724,  132724,  132721,  132720,  132692
132725,  132725,  132721,  132721,  132693
132726,  132726,  132721,  132722,  132694
132727,  132727,  132725,  132723,  132695
132728,  132728,  132725,  132724,  132696
132729,  132729,  132725,  132725,  132697
132730,  132730,  132725,  132726,  132698
132731,  132731,  132729,  132727,  132699
132732,  132732,  132729,  132728,  132700
132733,  132733,  132729,  132729,  132701
132734,  132734,  132729,  132730,  132702
132735,  132735,  132733,  132731,  132703
132736,  132736,  132733,  132732,  132704
132737,  132737,  132733,  132733,  132705
132738,  132738,  132733,  132734,  132706
132739,  132739,  132737,  132735,  132707
132740,  132740,  132737,  132736,  132708
132741,  132741,  132737,  132737,  132709
132742,  132742,  132737,  132738,  132710
132743,  132743,  132741,  132739,  132711
132744,  132744,  132741,  132740,  132712
132745,  132745,  132741,  132741,  132713
132746,  132746,  132741,  132742,  132714
132747,  132747,  132745,  132743,  132715
132748,  132748,  132745,  132744,  132716
132749,  132749,  132745,  132745,  132717
132750,  132750,  132745,  132746,  132718
132751,  132751,  132749,  132747,  132719
132752,  132752,  132749,  132748,  132720
132753,  132753,  132749,  132749,  132721
132754,  132754,  132749,  132750,  132722
132755,  132755,  132753,  132751,  132723
132756,  132756,  132753,  132752,  132724
132757,  132757,  132753,  132753,  132725
132758,  132758,  132753,  132754,  132726
132759,  132759,  132757,  132755,  132727
132760,  132760,  132757,  132756,  132728
132761,  132761,  132757,  132757,  132729
132762,  132561,  132757,  132758,  132730
132763,  132561,  132761,  132759,  132731
132764,  132561,  132761,  132760,  132732
132765,  132561,  132761,  132761,  132733
132766,  132561,  132761,  132762,  132734
132767,  132561,  132765,  132763,  132735
132768,  132561,  132765,  132764,  132736
132769,  132561,  132765,  132765,  132737
132770,  132561,  132765,  132766,  132738
132771,  132771,  132769,  132767,  132739
132772,  132772,  132769,  132768,  132740
132773,  132773,  132769,  132769,  132741
132774,  132774,  132769,  132770,  132742
132775,  132775,  132773,  132771,  132743
132776,  132776,  132773,  132772,  132744
132777,  132777,  132773,  132773,  132745
132778,  132778,  132773,  132774,  132746
132779,  132779,  132777,  132775,  132747
132780,  132780,  132777,  132776,  132748
132781,  132781,  132777,  132777,  132749
132782,  132782,  132777,  132778,  132750
132783,  132783,  132781,  132779,  132751
132784,  132784,  132781,  132780,  132752
132785,  132785,  132781,  132781,  132753
132786,  132786,  132781,  132782,  132754
132787,  132787,  132785,  132783,  132755
132788,  132788,  132785,  132784,  132756
132789,  132789,  132785,  132785,  132757
132790,  132790,  132785,  132786,  132758
132791,  132791,  132789,  132787,  132759
132792,  132792,  132789,  132788,  132760
132793,  132793,  132789,  132789,  132761
132794,  132794,  132789,  132790,  132762
132795,  132795,  132793,  132791,  132763
132796,  132796,  132793,  132792,  132764
132797,  132797,  132793,  132793,  132765
132798,  132798,  132793,  132794,  132766
132799,  132799,  132797,  132795,  132767
132800,  132800,  132797,  132796,  132768
132801,  132801,  132797,  132797,  132769
132802,  132802,  132797,  132798,  132770
132803,  132803,  132801,  132799,  132771
132804,  132804,  132801,  132800,  132772
132805,  132805,  132801,  132801,  132773
132806,  132806,  132801,  132802,  132774
132807,  132807,  132805,  132803,  132775
132808,  132808,  132805,  132804,  132776
132809,  132809,  132805,  132805,  132777
132810,  132810,  132805,  132806,  132778
132811,  132811,  132809,  132807,  132779
132812,  132812,  132809,  132808,  132780
132813,  132813,  132809,  132809,  132781
132814,  132814,  132809,  132810,  132782
132815,  132815,  132813,  132811,  132783
132816,  132816,  132813,  132812,  132784
132817,  132817,  132813,  132813,  132785
132818,  132818,  132813,  132814,  132786
132819,  132819,  132817,  132815,  132787
132820,  132820,  132817,  132816,  132788
132821,  132821,  132817,  132817,  132789
132822,  132822,  132817,  132818,  132790
132823,  132823,  132821,  132819,  132791
132824,  132824,  132821,  132820,  132792
132825,  132825,  132821,  132821,  132793
132826,  132826,  132821,  132822,  132794
132827,  132827,  132825,  132823,  132795
132828,  132828,  132825,  132824,  132796
132829,  132829,  132825,  132825,  132797
132830,  132830,  132825,  132826,  132798
132831,  132831,  132829,  132827,  132799
132832,  132832,  132829,  132828,  132800
132833,  132833,  132829,  132829,  132801
132834,  132834,  132829,  132830,  132802
132835,  132835,  132833,  132831,  132803
132836,  132836,  132833,  132832,  132804
132837,  132837,  132833,  132833,  132805
132838,  132838,  132833,  132834,  132806
132839,  132839,  132837,  132835,  132807
